,file_names,genned_set_name,new_file_names
67,Camille-Pissarro-Apple-Picking-at-Eragny-sur-Epte-S-2.jpg,Camille-Pissarro-Apple-Picking-at-Eragny-sur-Epte-S,aaaaa_Camille-Pissarro-Apple-Picking-at-Eragny-sur-Epte-S-2.jpg
68,Camille-Pissarro-Autumn-Poplars-S-2.jpg,Camille-Pissarro-Autumn-Poplars-S,aaaaa_Camille-Pissarro-Autumn-Poplars-S-2.jpg
69,Camille-Pissarro-Red-Roofs-Corner-of-a-Village-Winter-S-2.jpg,Camille-Pissarro-Red-Roofs-Corner-of-a-Village-Winter-S,aaaaa_Camille-Pissarro-Red-Roofs-Corner-of-a-Village-Winter-S-2.jpg
70,Camille-Pissarro-Sunset-Rouen-S-2.jpg,Camille-Pissarro-Sunset-Rouen-S,aaaaa_Camille-Pissarro-Sunset-Rouen-S-2.jpg
71,Camille-Pissarro-The-House-of-Monsieur-Musy-Route-de-Marly-L-2.jpg,Camille-Pissarro-The-House-of-Monsieur-Musy-Route-de-Marly-L,aaaaa_Camille-Pissarro-The-House-of-Monsieur-Musy-Route-de-Marly-L-2.jpg
72,Camille-Pissarro-Vegetable-Garden-and-Trees-in-Blossom-Sprin-2.jpg,Camille-Pissarro-Vegetable-Garden-and-Trees-in-Blossom-Sprin,aaaaa_Camille-Pissarro-Vegetable-Garden-and-Trees-in-Blossom-Sprin-2.jpg
73,Camille-Pissarro-Vegetable-Garden-at-the-Hermitage-near-Pont-2.jpg,Camille-Pissarro-Vegetable-Garden-at-the-Hermitage-near-Pont,aaaaa_Camille-Pissarro-Vegetable-Garden-at-the-Hermitage-near-Pont-2.jpg
74,Caravaggio-Michelangelo-Merisi-Basket-of-Fruit-S-2.jpg,Caravaggio-Michelangelo-Merisi-Basket-of-Fruit-S,aaaaa_Caravaggio-Michelangelo-Merisi-Basket-of-Fruit-S-2.jpg
75,Caravaggio-Michelangelo-Merisi-Ecce-Homo-S-2.jpg,Caravaggio-Michelangelo-Merisi-Ecce-Homo-S,aaaaa_Caravaggio-Michelangelo-Merisi-Ecce-Homo-S-2.jpg
76,Caravaggio-Michelangelo-Merisi-Narcissus-S-2.jpg,Caravaggio-Michelangelo-Merisi-Narcissus-S,aaaaa_Caravaggio-Michelangelo-Merisi-Narcissus-S-2.jpg
77,Caravaggio-Michelangelo-Merisi-Salome-with-the-Head-of-St.-J-2.jpg,Caravaggio-Michelangelo-Merisi-Salome-with-the-Head-of-St.-J,aaaaa_Caravaggio-Michelangelo-Merisi-Salome-with-the-Head-of-St.-J-2.jpg
78,Caravaggio-Michelangelo-Merisi-Supper-at-Emmaus-2--S-2.jpg,Caravaggio-Michelangelo-Merisi-Supper-at-Emmaus-2--S,aaaaa_Caravaggio-Michelangelo-Merisi-Supper-at-Emmaus-2--S-2.jpg
79,Caravaggio-Michelangelo-Merisi-Taking-of-Christ-S-2.jpg,Caravaggio-Michelangelo-Merisi-Taking-of-Christ-S,aaaaa_Caravaggio-Michelangelo-Merisi-Taking-of-Christ-S-2.jpg
80,Caravaggio-Michelangelo-Merisi-The-Calling-of-Saint-Matthew--2.jpg,Caravaggio-Michelangelo-Merisi-The-Calling-of-Saint-Matthew-,aaaaa_Caravaggio-Michelangelo-Merisi-The-Calling-of-Saint-Matthew--2.jpg
81,Caravaggio-Michelangelo-Merisi-The-Lute-Player-3--S-2.jpg,Caravaggio-Michelangelo-Merisi-The-Lute-Player-3--S,aaaaa_Caravaggio-Michelangelo-Merisi-The-Lute-Player-3--S-2.jpg
82,Caravaggio-Michelangelo-Merisi-The-Musicians-S-2.jpg,Caravaggio-Michelangelo-Merisi-The-Musicians-S,aaaaa_Caravaggio-Michelangelo-Merisi-The-Musicians-S-2.jpg
83,Carl-Spitzweg-The-Poor-Poet-2--S-2.jpg,Carl-Spitzweg-The-Poor-Poet-2--S,aaaaa_Carl-Spitzweg-The-Poor-Poet-2--S-2.jpg
84,Caspar-David-Friedrich-Chalk-Cliffs-on-Rugen-4--S-2.jpg,Caspar-David-Friedrich-Chalk-Cliffs-on-Rugen-4--S,aaaaa_Caspar-David-Friedrich-Chalk-Cliffs-on-Rugen-4--S-2.jpg
